Gene ID	Ensembl Gene ID	Gene Symbol	
3726	ENSG00000171223	JUNB	
2920	ENSG00000081041	CXCL2	
467	ENSG00000162772	ATF3	
4792	ENSG00000100906	NFKBIA	
7128	ENSG00000118503	TNFAIP3	
5743	ENSG00000073756	PTGS2	
2919	ENSG00000163739	CXCL1	
8870	ENSG00000206478; ENSG00000137331; ENSG00000237155; ENSG00000235030; ENSG00000230128; ENSG00000227231	IER3	
9308	ENSG00000112149	CD83	
6364	ENSG00000115009	CCL20	
2921	ENSG00000163734	CXCL3	
23764	ENSG00000185022	MAFF	
4791	ENSG00000077150	NFKB2	
7127	ENSG00000185215	TNFAIP2	
1839	ENSG00000113070	HBEGF	
1316	ENSG00000067082	KLF6	
330	ENSG00000023445	BIRC3	
5329	ENSG00000011422	PLAUR	
7538	ENSG00000128016	ZFP36	
3383	ENSG00000090339	ICAM1	
3725	ENSG00000177606	JUN	
1960	ENSG00000179388	EGR3	
3553	ENSG00000125538	IL1B	
597	ENSG00000140379	BCL2A1	
23645	ENSG00000087074	PPP1R15A	
80149	ENSG00000163874	ZC3H12A	
6648	ENSG00000285441; ENSG00000112096	SOD2	
4929	ENSG00000153234	NR4A2	
3552	ENSG00000115008	IL1A	
5971	ENSG00000104856	RELB	
7185	ENSG00000056558	TRAF1	
7832	ENSG00000159388	BTG2	
1843	ENSG00000120129	DUSP1	
1326	ENSG00000107968	MAP3K8	
2114	ENSG00000157557	ETS2	
2152	ENSG00000117525	F3	
6385	ENSG00000124145	SDC4	
1958	ENSG00000120738	EGR1	
3569	ENSG00000136244	IL6	
7124	ENSG00000232810; ENSG00000230108; ENSG00000223952; ENSG00000228849; ENSG00000206439; ENSG00000228978; ENSG00000228321; ENSG00000204490	TNF	
23135	ENSG00000132510	KDM6B	
4790	ENSG00000109320	NFKB1	
3976	ENSG00000128342	LIF	
5806	ENSG00000163661	PTX3	
8061	ENSG00000175592	FOSL1	
3164	ENSG00000123358	NR4A1	
182	ENSG00000101384	JAG1	
6351	ENSG00000275824; ENSG00000275302; ENSG00000277943	CCL4	
2643	ENSG00000131979	GCH1	
6347	ENSG00000108691	CCL2	
1827	ENSG00000159200	RCAN1	
1844	ENSG00000158050	DUSP2	
10938	ENSG00000110047	EHD1	
9592	ENSG00000160888	IER2	
5966	ENSG00000162924	REL	
8837	ENSG00000003402	CFLAR	
8767	ENSG00000104312	RIPK2	
4794	ENSG00000146232	NFKBIE	
8013	ENSG00000119508	NR4A3	
22822	ENSG00000139289	PHLDA1	
51278	ENSG00000162783	IER5	
8744	ENSG00000125657	TNFSF9	
2669	ENSG00000164949	GEM	
1647	ENSG00000116717	GADD45A	
3627	ENSG00000169245	CXCL10	
10769	ENSG00000145632	PLK2	
8553	ENSG00000134107	BHLHE40	
1959	ENSG00000122877	EGR2	
9021	ENSG00000184557	SOCS3	
11182	ENSG00000281165; ENSG00000160326	SLC2A6	
5734	ENSG00000171522	PTGER4	
1847	ENSG00000138166	DUSP5	
5055	ENSG00000197632	SERPINB2	
4783	ENSG00000165030	NFIL3	
5054	ENSG00000106366	SERPINE1	
10221	ENSG00000173334	TRIB1	
25976	ENSG00000163659	TIPARP	
5970	ENSG00000173039	RELA	
329	ENSG00000110330	BIRC2	
6372	ENSG00000124875	CXCL6	
9516	ENSG00000189067	LITAF	
7130	ENSG00000123610	TNFAIP6	
960	ENSG00000026508	CD44	
3624	ENSG00000122641	INHBA	
5328	ENSG00000122861	PLAU	
4609	ENSG00000136997	MYC	
3604	ENSG00000049249	TNFRSF9	
6446	ENSG00000118515	SGK1	
10318	ENSG00000145901	TNIP1	
10135	ENSG00000105835	NAMPT	
2355	ENSG00000075426	FOSL2	
10957	ENSG00000146278	PNRC1	
3398	ENSG00000115738	ID2	
969	ENSG00000110848	CD69	
3575	ENSG00000168685	IL7R	
1942	ENSG00000169242	EFNA1	
7262	ENSG00000181649; ENSG00000274538	PHLDA2	
5209	ENSG00000170525	PFKFB3	
6352	ENSG00000274233; ENSG00000271503	CCL5	
79693	ENSG00000196449	YRDC	
3460	ENSG00000262795; ENSG00000159128	IFNGR2	
8878	ENSG00000161011; ENSG00000284099	SQSTM1	
10950	ENSG00000281484; ENSG00000154640	BTG3	
4616	ENSG00000099860	GADD45B	
8942	ENSG00000115919	KYNU	
50486	ENSG00000123689	G0S2	
694	ENSG00000133639	BTG1	
4170	ENSG00000143384	MCL1	
7422	ENSG00000112715	VEGFA	
5606	ENSG00000034152	MAP2K3	
1026	ENSG00000124762	CDKN1A	
3491	ENSG00000142871	CCN1	
10010	ENSG00000136560	TANK	
3433	ENSG00000119922	IFIT2	
3606	ENSG00000150782	IL18	
7280	ENSG00000137267	TUBB2A	
3659	ENSG00000125347	IRF1	
2353	ENSG00000170345	FOS	
4973	ENSG00000173391	OLR1	
388	ENSG00000143878	RHOB	
374	ENSG00000109321	AREG	
4814	ENSG00000131669	NINJ1	
65986	ENSG00000205189	ZBTB10	
8613	ENSG00000162407	PLPP3	
9314	ENSG00000136826	KLF4	
6373	ENSG00000169248	CXCL11	
6303	ENSG00000130066	SAT1	
1435	ENSG00000184371	CSF1	
1880	ENSG00000169508	GPR183	
56937	ENSG00000124225	PMEPA1	
5791	ENSG00000132334	PTPRE	
7097	ENSG00000137462	TLR2	
57007	ENSG00000144476	ACKR3	
7071	ENSG00000155090	KLF10	
4082	ENSG00000277443	MARCKS	
3914	ENSG00000196878	LAMB3	
1051	ENSG00000172216	CEBPB	
9322	ENSG00000125733	TRIP10	
2150	ENSG00000164251	F2RL1	
687	ENSG00000119138	KLF9	
3949	ENSG00000130164	LDLR	
7050	ENSG00000177426	TGIF1	
127544	ENSG00000116514	RNF19B	
55332	ENSG00000136048	DRAM1	
2683	ENSG00000086062	B4GALT1	
11080	ENSG00000162616	DNAJB4	
1437	ENSG00000164400	CSF2	
5142	ENSG00000184588	PDE4B	
8303	ENSG00000184602	SNN	
5341	ENSG00000115956	PLEK	
6776	ENSG00000126561	STAT5A	
23258	ENSG00000184014	DENND5A	
595	ENSG00000110092	CCND1	
23586	ENSG00000107201	DDX58	
8877	ENSG00000176170	SPHK1	
941	ENSG00000121594	CD80	
25816	ENSG00000145779	TNFAIP8	
57018	ENSG00000163660	CCNL1	
2526	ENSG00000196371	FUT4	
9034	ENSG00000121797	CCRL2	
80176	ENSG00000171621	SPSB1	
8848	ENSG00000102804	TSC22D1	
9334	ENSG00000158470	B4GALT5	
150094	ENSG00000142178	SIK1	
23529	ENSG00000175505	CLCF1	
4780	ENSG00000116044	NFE2L2	
2354	ENSG00000125740	FOSB	
5187	ENSG00000179094	PER1	
10725	ENSG00000102908	NFAT5	
