Gene.name	Gene.stable.ID	Mouse.gene.stable.ID	Mouse.gene.name
MT-ND1	ENSG00000198888	ENSMUSG00000064341	mt-Nd1
MT-ND2	ENSG00000198763	ENSMUSG00000064345	mt-Nd2
MT-CO1	ENSG00000198804	ENSMUSG00000064351	mt-Co1
MT-CO2	ENSG00000198712	ENSMUSG00000064354	mt-Co2
MT-ATP8	ENSG00000228253	ENSMUSG00000064356	mt-Atp8
MT-ATP6	ENSG00000198899	ENSMUSG00000064357	mt-Atp6
MT-CO3	ENSG00000198938	ENSMUSG00000064358	mt-Co3
MT-ND3	ENSG00000198840	ENSMUSG00000064360	mt-Nd3
MT-ND4L	ENSG00000212907	ENSMUSG00000065947	mt-Nd4l
MT-ND4	ENSG00000198886	ENSMUSG00000064363	mt-Nd4
MT-ND5	ENSG00000198786	ENSMUSG00000064367	mt-Nd5
MT-ND6	ENSG00000198695	ENSMUSG00000064368	mt-Nd6
MT-CYB	ENSG00000198727	ENSMUSG00000064370	mt-Cytb
KLF13	ENSG00000169926	ENSMUSG00000052040	Klf13
KCNE1B	ENSG00000276289	ENSMUSG00000039639	Kcne1
PDK3	ENSG00000067992	ENSMUSG00000035232	Pdk3
CDH9	ENSG00000113100	ENSMUSG00000025370	Cdh9
OR2AG2	ENSG00000188124	ENSMUSG00000036744	Olfr701
OR2AG2	ENSG00000188124	ENSMUSG00000109354	Olfr706
OR2AG1	ENSG00000279486	ENSMUSG00000036744	Olfr701
OR2AG1	ENSG00000279486	ENSMUSG00000109354	Olfr706
TMEM106B	ENSG00000106460	ENSMUSG00000029571	Tmem106b
DNAJC27	ENSG00000115137	ENSMUSG00000020657	Dnajc27
FP565260.4	ENSG00000279493	ENSMUSG00000000730	Dnmt3l
OTUD7A	ENSG00000169918	ENSMUSG00000033510	Otud7a
GABRA5	ENSG00000186297	ENSMUSG00000055078	Gabra5
IAH1	ENSG00000134330	ENSMUSG00000062054	Iah1
TRIM26	ENSG00000234127	ENSMUSG00000024457	Trim26
FYB1	ENSG00000082074	ENSMUSG00000022148	Fyb
SLC23A2	ENSG00000089057	ENSMUSG00000027340	Slc23a2
FP565260.3	ENSG00000277117	ENSMUSG00000000732	Icosl
GABRB3	ENSG00000166206	ENSMUSG00000033676	Gabrb3
OR6A2	ENSG00000184933	ENSMUSG00000070417	Olfr2
ADAM17	ENSG00000151694	ENSMUSG00000052593	Adam17
NME8	ENSG00000086288	ENSMUSG00000041138	Nme8
FP565260.2	ENSG00000276612	ENSMUSG00000053329	Gatd3a
GATD3B	ENSG00000280071	ENSMUSG00000053329	Gatd3a
OR2D3	ENSG00000178358	ENSMUSG00000073896	Olfr716
DUOXA1	ENSG00000140254	ENSMUSG00000027224	Duoxa1
SFRP4	ENSG00000106483	ENSMUSG00000021319	Sfrp4
OR10A5	ENSG00000166363	ENSMUSG00000049674	Olfr714
OR10A5	ENSG00000166363	ENSMUSG00000073898	Olfr713
OR2D2	ENSG00000166368	ENSMUSG00000062987	Olfr715b
OR2D2	ENSG00000166368	ENSMUSG00000060503	Olfr715
OR10A4	ENSG00000170782	ENSMUSG00000073897	Olfr17
OR10A2	ENSG00000170790	ENSMUSG00000049674	Olfr714
OR10A2	ENSG00000170790	ENSMUSG00000073898	Olfr713
EPDR1	ENSG00000086289	ENSMUSG00000002808	Epdr1
FP565260.1	ENSG00000275464	ENSMUSG00000032834	Pwp2
FAM8A1	ENSG00000137414	ENSMUSG00000069237	Fam8a1
GPR141	ENSG00000187037	ENSMUSG00000053101	Gpr141
HIST1H1B	ENSG00000184357	ENSMUSG00000058773	Hist1h1b
KLHL7	ENSG00000122550	ENSMUSG00000028986	Klhl7
RGN	ENSG00000130988	ENSMUSG00000023070	Rgn
HIST1H2BM	ENSG00000273703	ENSMUSG00000114456	Hist1h2bh
CPXM1	ENSG00000088882	ENSMUSG00000027408	Cpxm1
HIST1H4J	ENSG00000197238	ENSMUSG00000069305	Hist1h4n
HIST1H4J	ENSG00000197238	ENSMUSG00000060093	Hist1h4a
SHF	ENSG00000138606	ENSMUSG00000033256	Shf
ITPRID1	ENSG00000180347	ENSMUSG00000037973	Itprid1
CGREF1	ENSG00000138028	ENSMUSG00000029161	Cgref1
DUOXA2	ENSG00000140274	ENSMUSG00000027225	Duoxa2
MYL9	ENSG00000101335	ENSMUSG00000067818	Myl9
KHK	ENSG00000138030	ENSMUSG00000029162	Khk
DUOX2	ENSG00000140279	ENSMUSG00000068452	Duox2
RPAP1	ENSG00000103932	ENSMUSG00000034032	Rpap1
DLGAP4	ENSG00000080845	ENSMUSG00000061689	Dlgap4
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094561	Ighv1-22
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095923	Ighv1-37
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000093955	Ighv1-34
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095416	Ighv1-12
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094862	Ighv1-56
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094124	Ighv1-74
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000076710	Ighv1-49
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095589	Ighv1-55
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000103254	Ighv1-15
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095127	Ighv1-82
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094689	Ighv1-81
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094502	Ighv1-69
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094694	Ighv1-9
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096078	Ighv1-62-2
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095583	Ighv14-2
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095554	Ighv1-16
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095200	Ighv1-7
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095130	Ighv1-39
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096499	Ighv1-5
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000102888	Ighv1-11
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000093894	Ighv1-53
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094241	Ighv1-24
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094509	Ighv14-1
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094088	Ighv1-64
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094075	Ighv1-80
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094051	Ighv1-36
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095889	Ighv1-58
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096649	Ighv1-31
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096577	Ighv1-71
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096452	Ighv1-77
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095197	Ighv1-59
